secciones_en_catalogo: 233
1 APS_25x25x3            1.5     0.4     1.      0.9    0.9  0.05
2 APS_25x25x5            2.3     0.4     2.      1.3    1.3  0.19
3 APS_25x25x6            2.6     0.6     3.      1.5    1.5  0.32
4 APS_38x38x3            2.2     1.2     5.      3.3    3.3  0.07
5 APS_38x38x5            3.6     1.5     8.      4.6    4.6   0.3
6 APS_38x38x6            4.2     1.9    10.      5.8    5.8   0.5
7 APS_51x51x3            3.1     2.5    13.      7.9    7.9   0.1
8 APS_51x51x5            4.9     3.6    19.     11.3   11.3   0.4
9 APS_51x51x6            6.1     4.7    24.     14.5   14.5   0.7
10 APS_64x64x5           5.8     7.2    38.     22.8   22.8   0.5
11 APS_64x64x6           7.7     9.5    49.     29.3   29.3   1.0
12 APS_64x64x8           9.4    11.5    59.     35.3   35.3   2.0
13 APS_64x64x10         11.2    13.4    68.     41.0   41.0   3.4
14 APS_76x76x6           9.3    16.5    87.     51.6   51.6   1.3
15 APS_76x76x8          11.5    20.3   105.     62.9   62.9   2.5
16 APS_76x76x10         13.6    23.8   123.     73.3   73.3   4.3
17 APS_76x76x11         15.7    27.3   138.     82.8   82.8   6.7
18 APS_76x76x13         17.7    30.8   154.     92.4   92.4   9.7
19 APS_102x102x6        12.5    40.0   213.    126.5  126.5   1.8
20 APS_102x102x8        15.5    49.3   260.    154.4  154.4   3.5
21 APS_102x102x10       18.5    58.4   305.    181.5  181.5   5.9
22 APS_102x102x11       21.4    66.9   347.    206.9  206.9   9.1
23 APS_102x102x13       24.2    75.2   388.    231.4  231.4  13.4
24 APS_152x152x10       28.1   202.6  1079.    641.0  641.0   9.1
25 APS_152x152x11       32.6   233.9  1240.    736.7  736.7  14.2
26 APS_152x152x13       37.1   262.0  1395.    828.3  828.3  20.9
27 APS_152x152x14       41.5   292.8  1547.    919.9  919.9  29.3
28 APS_152x152x16       45.9   323.5  1691.   1007.3 1007.3  39.7
29 APS_152x102x10       23.3   115.4   649.    561.9  204.0   7.6
30 APS_152x102x11       27.0   133.0   744.    645.2  233.1  11.8
31 APS_152x102x13       30.6   150.0   835.    724.2  261.0  17.4
32 APS_152x102x14       34.3   165.8   925.    803.3  287.6  24.3
33 APS_152x102x16       37.8   181.3  1009.    878.2  313.0  33.0
34 APS_152x102x19       44.8   213.5  1168.   1019.8  361.3  55.4
35 2APS_25x25x3          3.0      2.   3.63       2.   3.63   0.0
36 2APS_25x25x5          4.4      3.   5.32       3.   5.32   0.0
37 2APS_25x25x6          5.6      3.   6.78       3.   6.78   0.0
38 2APS_38x38x3          4.7      7.  12.03       7.  12.03   0.0
39 2APS_38x38x5          6.8      9.  17.41       9.  17.41   0.0
40 2APS_38x38x6          8.8     12.  22.53      12.  22.53   0.0
41 2APS_51x51x3          6.2     16.  27.34      16.  27.34   0.0
42 2APS_51x51x5          9.2     23.  40.57      23.  40.57   0.0
43 2APS_51x51x6         12.1     30.  69.70      30.  69.70   0.0
44 2APS_64x64x5         11.6     45.  97.56      45.  97.56   0.0
45 2APS_64x64x6         15.4     59. 112.27      59. 112.27   0.0
46 2APS_64x64x8         18.9     71. 137.78      71. 137.78   0.0
47 2APS_64x64x10        22.4     82. 163.30      82. 163.30   0.0
48 2APS_76x76x11        31.3    166. 320.51     166. 320.51   0.0
49 2APS_76x76x6         18.6    104. 190.47     104. 190.47   0.0
50 2APS_76x76x8         22.9    126. 234.50     126. 234.50   0.0
51 2APS_76x76x10        27.2    147. 278.53     147. 278.53   0.0
52 2APS_76x76x13        35.5    184. 386.60     184. 386.60   0.0
53 2APS_102x102x6       25.0    253. 441.00     253. 441.00   0.0
54 2APS_102x102x8       31.0    309. 546.84     309. 546.84   0.0
55 2APS_102x102x10      36.9    363. 682.28     363. 682.28   0.0
56 2APS_102x102x13      48.4    462. 894.92     462. 894.92   0.0
57 2APS_102x102x11      42.7    414. 789.52     414. 789.52   0.0
58 2APS_102x152x10      46.6    408. 2283.4     408. 2283.4   0.0
59 2APS_102x152x11      53.9    466. 2641.1     466. 2641.1   0.0
60 2APS_102x152x13      61.3    522. 3003.7     522. 3003.7   0.0
61 2APS_102x152x14      68.5    575. 3356.5     575. 3356.5   0.0
62 2APS_102x152x16      75.6    626. 3811.0     626. 3811.0   0.0
63 2APS_102x152x19      89.5    723. 4511.7     723. 4511.7   0.0
64 2APS_152x102x10      46.6   1120. 672.90    1120. 672.90   0.0
65 2APS_152x102x11      53.9   1290. 778.32    1290. 778.32   0.0
66 2APS_152x102x13      61.3   1448. 885.17    1448. 885.17   0.0
67 2APS_152x102x14      68.5   1607. 1041.9    1607. 1041.9   0.0
68 2APS_152x102x16      75.6   1752. 1150.0    1752. 1150.0   0.0
69 2APS_152x102x19      89.5   2040. 1361.3    2040. 1361.3   0.0
70 2APS_152x152x11      65.3   1473. 2591.8    1473. 2591.8   0.0
71 2APS_152x152x14      83.0   1840. 3400.0    1840. 3400.0   0.0
72 2APS_152x152x10      56.3   1282. 2234.5    1282. 2234.5   0.0
73 2APS_152x152x13      74.2   1657. 3039.2    1657. 3039.2   0.0
74 2APS_152x152x16      91.6   2010. 3751.9    2010. 3751.9   0.0
75 CPS_76x6.1            7.8     69.     8.      69.     8.   1.2 
76 CPS_102x8.0          10.3    160.    13.     160.    13.   1.7 
77 CPS_152x12.2         15.5    545.    29.     545.    29.   3.3 
78 CPS_152x15.6         19.9    633.    36.     633.    36.   5.4 
79 CPS_152x19.3         24.7    724.    44.     724.    44.  10.0 
80 CPS_203x17.1         21.8   1357.    55.    1357.    55.   5.4 
81 CPS_203x20.5         26.1   1503.    64.    1503.    64.   7.9 
82 CPS_203x27.9         35.5   1831.    82.    1831.    82.  18.3 
83 CPS_254x22.8         29.0   2805.    95.    2805.    95.   8.7 
84 CPS_254x29.8         37.9   3284.   117.    3284.   117.  15.4 
85 CPS_254x37.2         47.4   3796.   140.    3796.   140.  28.7 
86 CPS_254x44.6         56.9   4287.   164.    4287.   164.  51.2 
87 CPS_305x30.8         39.3   5369.   161.    5369.   161.  15.4 
88 CPS_305x37.2         47.4   5994.   186.    5994.   186.  22.5 
89 CPS_305x44.6         56.9   6743.   214.    6743.   214.  36.2 
90 2LC_25x25x3           3.0     2.6    2.6      2.6    2.6   0.0
91 2LC_25x25x5           4.4     3.4    3.4      3.4    3.4   0.0
92 2LC_25x25x6           5.6     4.0    4.0      4.0    4.0   0.0
93 2LC_38x38x3           4.7     9.8    9.8      9.8    9.8   0.0
94 2LC_38x38x5           6.8     13.    13.      13.    13.   0.0
95 2LC_38x38x6           8.8     16.    16.      16.    16.   0.0
96 2LC_51x51x3           6.2     24.    24.      24.    24.   0.0
97 2LC_51x51x5           9.2     34.    34.      34.    34.   0.0
98 2LC_51x51x6          12.1     42.    42.      42.    42.   0.0
99 2LC_64x64x5          11.6    69.6   69.6     69.6   69.6   0.0
100 2LC_64x64x6         15.4     88.    88.      88.    88.   0.0
101 2LC_64x64x8         18.8    104.   104.     104.   104.   0.0
102 2LC_64x64x10        22.3    118.   118.     118.   118.   0.0
103 2LC_76x76x6         18.6    155.   155.     155.   155.   0.0
104 2LC_76x76x8         23.0    185.   185.     185.   185.   0.0
105 2LC_76x76x10        27.2    212.   212.     212.   212.   0.0
106 2LC_76x76x11        31.3    235.   235.     235.   235.   0.0
107 2LC_76x76x13        35.4    258.   258.     258.   258.   0.0
108 2LC_102x102x6       25.0    388.   388.     388.   388.   0.0
109 2LC_102x102x8       30.9    468.   468.     468.   468.   0.0
110 2LC_102x102x10      36.9    543.   543.     543.   543.   0.0
111 2LC_102x102x11      42.7    611.   611.     611.   611.   0.0
112 2LC_102x102x13      48.3    675.   675.     675.   675.   0.0
113 2LC_152x152x10      56.3   1947.  1947.    1947.  1947.   0.0
114 2LC_152x152x11      65.3   2219.  2219.    2219.  2219.   0.0
115 2LC_152x152x13      74.2   2475.  2475.    2475.  2475.   0.0
116 2LC_152x152x14      83.0   2723.  2723.    2723.  2723.   0.0
117 2LC_152x152x16      91.7   2957.  2957.    2957.  2957.   0.0
118 IPS_100x50x8.3      10.6    171.    12.     171.    12.   1.7
119 IPS_102x68x11.5     14.6    253.    32.     253.    32.   2.9
120 IPS_127x76x14.9     19.0    512.    51.     512.    51.   4.6
121 IPS_152x85x18.6     23.7    920.    76.     920.    76.   7.1
122 IPS_180x82x21.9     27.9   1450.    81.    1450.    81.  10.2
123 IPS_200x90x26.2     33.4   2140.   117.    2140.   117.  14.4
124 IPR_152x102x13.4    17.3     683     91      683     91   1.7
125 IPR_152x102x17.9    22.9     920    124      920    124   3.7
126 IPR_152x102x23.3    30.6    1336    184     1336    184   9.2
127 IPR_203x102x14.9    19.1    1282     87     1282     87   1.7
128 IPR_203x102x19.3    24.8    1648    114     1648    114   3.7
129 IPR_203x102x22.3    28.6    1998    142     1998    142   5.8
130 IPR_203x133x26.8    33.9    2576    332     2576    332   7.1
131 IPR_203x133x31.3    39.7    3134    407     3134    407  11.7
132 IPR_254x102x17.9    22.8    2239     91     2239     91   2.1
133 IPR_254x102x22.3    28.5    2868    120     2868    120   4.2
134 IPR_254x102x25.3    32.2    3409    148     3409    148   6.7
135 IPR_254x102x28.3    36.3    4008    179     4008    179   9.6
136 IPR_254x146x32.7    41.9    4912    475     4912    475  10.0
137 IPR_254x146x38.7    49.1    5994    587     5994    587  16.6
138 IPR_254x146x44.6    57.0    7076    695     7076    695  25.8
139 IPR_305x102x20.8    26.8    3688     98     3688     98   2.9
140 IPR_305x102x23.8    30.4    4287    117     4287    117   4.2
141 IPR_305x102x28.3    35.9    5411    157     5411    157   7.5
142 IPR_305x102x32.8    41.8    6493    194     6493    194  12.1
143 IPR_305x165x38.7    49.4    8491    720     8491    720  12.5
144 IPR_305x165x44.6    56.7    9906    845     9906    845  19.1
145 IPR_305x165x52.1    66.5   11863   1020    11863   1020  30.8
146 IPR_305x203x59.5    76.1   12903   1836    12903   1836  39.5
147 IPR_305x203x67.0    85.2   14568   2081    14568   2081  54.5
148 IPR_305x203x74.4    94.8   16400   2343    16400   2343  74.1
149 IPR_356x171x44.6    57.1   12112    816    12112    816  15.8
150 IPR_356x171x50.6    64.5   14152    970    14152    970  23.7
151 IPR_356x172x56.6    72.3   16025   1111    16025   1111  33.3
152 IPR_356x203x64.0    81.3   17815   1881    17815   1881  43.7
153 IPR_356x203x71.4    91.0   20187   2139    20187   2139  60.8
154 IPR_356x203x78.9   100.6   22518   2402    22518   2402  80.7
155 IPR_406x178x53.6    68.4   18647   1020    18647   1020  22.5
156 IPR_406x178x59.8    76.1   21561   1203    21561   1203  32.9
157 IPR_406x178x67.4    85.8   24391   1365    24391   1365  46.2
158 IPR_406x178x74.4    94.8   27430   1548    27430   1548  63.3
159 IPR_457x194x74.5    94.8   33299   1669    33299   1669  51.6
160 IPR_457x194x81.8   104.5   37045   1869    37045   1869  69.1
161 IPR_457x194x89.3   113.5   40957   2085    40957   2085  90.3
162 IPR_457x194x96.7   123.2   44537   2281    44537   2281 113.6
163 IPR_457x194x105.0  134.2   48699   2510    48699   2510 144.8
164 IPR_457x286x113.6  143.9   55359   6327    55359   6327 117.8
165 IPR_457x286x128.0  163.2   63683   7284    63683   7284 170.7
166 IPR_457x286x144.7  183.9   72841   8366    72841   8366 243.9
167 IPR_457x286x157.7  200.6   79500   9157    79500   9157 311.3
168 IPR_457x286x177.1  226.5   91155  10531    91155  10531 441.2
169 IPC_406x203x49.7    63.    18321   1333    18321   1333   15.
170 IPC_406x203x59.5    75.8   22933   1777    22933   1777   30.
171 IPC_406x203x69.3    88.3   27395   2221    27395   2221   56.
172 IPC_406x305x79.8   101.6   32937   5995    32937   5995   44.
173 IPC_406x305x94.6   120.6   39700   7493    39700   7493   83.
174 IPC_406x305x114.1  145.4   46899   8992    46899   8992  144.
175 IPC_406x305x128.9  164.2   53183  10491    53183  10491  220.
176 IPC_406x305x143.7  183.1   59249  11989    59249  11989  324.
177 IPC_457x203x52.2    66.5   23849   1333    23849   1333   15.
178 IPC_457x203x62.0    79.0   29761   1777    29761   1777   31.
179 IPC_457x203x71.9    91.5   35503   2221    35503   2221   56.
180 IPC_457x305x82.3   104.8   42512   5995    42512   5995   45.
181 IPC_457x305x97.2   123.8   51217   7493    51217   7493   83.
182 IPC_457x305x117.3  149.4   60639   8992    60639   8992  144.
183 IPC_457x305x132.1  168.2   68792  10491    68792  10491  221.
